종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
007310,오뚜기,KOSPI,음식료품,"451,000","6,500",1.46,"1,656,063,431,000"
002630,오리엔트바이오,KOSPI,의약품,796,16,2.05,"94,392,071,980"
271560,오리온,KOSPI,음식료품,"109,000","1,500",1.40,"4,309,438,388,000"
001800,오리온홀딩스,KOSPI,기타금융,"15,300",550,3.73,"958,474,956,600"
011690,와이투솔루션,KOSPI,전기전자,733,-27,-3.55,"116,719,721,921"
070960,용평리조트,KOSPI,서비스업,"3,780",5,0.13,"181,943,998,740"
316140,우리금융지주,KOSPI,기타금융,"11,450",100,0.88,"8,336,293,286,050"
010050,우리종금,KOSPI,기타금융,895,4,0.45,"782,412,048,370"
006980,우성,KOSPI,음식료품,"23,950",0,0.00,"74,005,500,000"
017370,우신시스템,KOSPI,기계,"2,430",50,2.10,"44,503,151,220"
105840,우진,KOSPI,의료정밀,"11,300",-500,-4.24,"229,656,838,200"
010400,우진아이엔에스,KOSPI,건설업,"6,580",150,2.33,"50,152,760,000"
049800,우진플라임,KOSPI,기계,"3,520",100,2.92,"70,400,000,000"
016880,웅진,KOSPI,서비스업,"1,375",0,0.00,"109,899,735,000"
095720,웅진씽크빅,KOSPI,서비스업,"2,345",-5,-0.21,"270,861,534,825"
005820,원림,KOSPI,섬유의복,"25,500",800,3.24,"58,598,235,000"
010600,웰바이오텍,KOSPI,유통업,"1,605",-45,-2.73,"106,623,526,920"
008600,윌비스,KOSPI,유통업,910,-11,-1.19,"61,184,795,490"
033270,유나이티드제약,KOSPI,의약품,"24,200",-200,-0.82,"393,124,692,400"
014830,유니드,KOSPI,화학,"90,900","2,800",3.18,"808,086,728,700"
000910,유니온,KOSPI,비금속광물,"5,440",-70,-1.27,"84,927,207,360"
047400,유니온머티리얼,KOSPI,비금속광물,"2,145",15,0.70,"90,090,000,000"
011330,유니켐,KOSPI,기타제조업,"1,195",5,0.42,"87,141,050,295"
077500,유니퀘스트,KOSPI,유통업,"8,760",80,0.92,"239,577,021,000"
002920,유성기업,KOSPI,운수장비,"2,775",25,0.91,"72,004,312,500"
000700,유수홀딩스,KOSPI,서비스업,"5,900",60,1.03,"153,646,690,800"
003470,유안타증권,KOSPI,증권,"2,625",25,0.96,"523,941,012,000"
003475,유안타증권우,KOSPI,증권,"2,880",25,0.88,"37,187,170,560"
072130,유엔젤,KOSPI,서비스업,"3,140",70,2.28,"41,433,725,560"
000220,유유제약,KOSPI,의약품,"6,760",160,2.42,"116,490,692,760"
000225,유유제약1우,KOSPI,의약품,"9,550",750,8.52,"21,649,181,500"
