종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
037460,삼지전자,KOSDAQ,통신장비,"9,600",50,0.52,"156,657,811,200"
032750,삼진,KOSDAQ,일반전기전자,"6,670",10,0.15,"48,024,000,000"
054090,삼진엘앤디,KOSDAQ,IT부품,"3,365",325,10.69,"83,987,815,680"
000250,삼천당제약,KOSDAQ,제약,"33,450","1,050",3.24,"761,590,971,450"
024950,삼천리자전거,KOSDAQ,유통,"7,210",-110,-1.50,"95,702,490,170"
038500,삼표시멘트,KOSDAQ,비금속,"3,900",135,3.59,"420,873,593,400"
017480,삼현철강,KOSDAQ,금속,"5,270",20,0.38,"82,754,230,300"
046390,삼화네트웍스,KOSDAQ,오락·문화,"3,590",170,4.97,"154,990,829,470"
027580,상보,KOSDAQ,화학,"1,495",20,1.36,"88,476,012,105"
038540,상상인,KOSDAQ,컴퓨터서비스,"8,630",140,1.65,"477,483,341,190"
101000,상상인인더스트리,KOSDAQ,기계·장비,738,-16,-2.12,"52,952,084,496"
415580,상상인제3호스팩,KOSDAQ,금융,"2,125",0,0.00,"11,283,750,000"
091580,상신이디피,KOSDAQ,IT부품,"15,900",650,4.26,"215,360,698,200"
263810,상신전자,KOSDAQ,일반전기전자,"3,225",-35,-1.07,"45,939,215,550"
089980,상아프론테크,KOSDAQ,화학,"28,950",650,2.30,"462,882,621,150"
042940,상지카일룸,KOSDAQ,건설,965,35,3.76,"90,175,717,135"
042600,새로닉스,KOSDAQ,IT부품,"19,750",550,2.86,"245,365,586,500"
252990,샘씨엔에스,KOSDAQ,반도체,"4,645",-5,-0.11,"232,964,614,670"
294630,서남,KOSDAQ,일반전기전자,"2,650",-40,-1.49,"56,681,274,000"
038070,서린바이오,KOSDAQ,유통,"16,400",50,0.31,"139,411,086,400"
006730,서부T&D,KOSDAQ,숙박·음식,"7,150",210,3.03,"431,857,890,750"
079650,서산,KOSDAQ,비금속,"2,010",70,3.61,"40,200,000,000"
100660,서암기계공업,KOSDAQ,기계·장비,"7,050",-60,-0.84,"88,830,000,000"
019770,서연탑메탈,KOSDAQ,기계·장비,"5,920",140,2.42,"68,968,000,000"
043710,서울리거,KOSDAQ,유통,990,1,0.10,"38,774,500,380"
092190,서울바이오시스,KOSDAQ,IT부품,"6,960",190,2.81,"266,036,624,880"
046890,서울반도체,KOSDAQ,반도체,"10,450",300,2.96,"609,291,430,000"
063170,서울옥션,KOSDAQ,유통,"18,200",200,1.11,"323,491,659,400"
027040,서울전자통신,KOSDAQ,유통,650,17,2.69,"45,232,750,550"
018680,서울제약,KOSDAQ,제약,"5,380",190,3.66,"45,861,933,740"
093920,서원인텍,KOSDAQ,IT부품,"5,620",-10,-0.18,"104,532,000,000"
189860,서전기전,KOSDAQ,일반전기전자,"9,090",-310,-3.30,"88,161,910,200"
178320,서진시스템,KOSDAQ,통신장비,"14,850",500,3.48,"558,072,533,700"
122690,서진오토모티브,KOSDAQ,운송장비·부품,"2,960",-35,-1.17,"57,842,088,160"
140070,서플러스글로벌,KOSDAQ,유통,"3,330",40,1.22,"123,170,040,000"
011370,서한,KOSDAQ,건설,"1,295",5,0.39,"130,658,850,175"
065710,서호전기,KOSDAQ,일반전기전자,"17,700",0,0.00,"91,155,000,000"
035890,서희건설,KOSDAQ,건설,"1,370",10,0.74,"314,837,586,090"
357550,석경에이티,KOSDAQ,화학,"16,800",-900,-5.08,"91,644,000,000"
003100,선광,KOSDAQ,운송,"93,000","1,000",1.09,"613,800,000,000"
171090,선익시스템,KOSDAQ,반도체,"16,600",300,1.84,"152,800,941,600"
086710,선진뷰티사이언스,KOSDAQ,화학,"5,700",30,0.53,"69,558,696,000"
014620,성광벤드,KOSDAQ,금속,"10,550",-250,-2.31,"301,730,000,000"
037350,성도이엔지,KOSDAQ,기타서비스,"4,960",-20,-0.40,"76,731,200,000"
081580,성우전자,KOSDAQ,IT부품,"2,805",-5,-0.18,"43,500,341,115"
045300,성우테크론,KOSDAQ,반도체,"4,615",65,1.43,"45,094,517,195"
015750,성우하이텍,KOSDAQ,운송장비·부품,"4,495",345,8.31,"359,600,000,000"
080470,성창오토텍,KOSDAQ,운송장비·부품,"6,710",80,1.21,"48,983,000,000"
043260,성호전자,KOSDAQ,IT부품,"1,455",-5,-0.34,"77,704,833,720"
148150,세경하이테크,KOSDAQ,일반전기전자,"16,750",-100,-0.59,"197,386,706,750"
053060,세동,KOSDAQ,운송장비·부품,"1,550",100,6.90,"27,061,460,850"
340440,세림B&G,KOSDAQ,화학,"3,730",-175,-4.48,"105,851,297,720"
017510,세명전기,KOSDAQ,금속,"3,670",-70,-1.87,"55,952,820,000"
011560,세보엠이씨,KOSDAQ,건설,"7,740",50,0.65,"81,502,200,000"
396300,세아메카닉스,KOSDAQ,금속,"6,480",30,0.47,"171,651,960,000"
100700,세운메디칼,KOSDAQ,제약,"3,410",-120,-3.40,"149,358,000,000"
024830,세원물산,KOSDAQ,운송장비·부품,"6,280",0,0.00,"52,438,000,000"
258830,세종메디칼,KOSDAQ,의료·정밀기기,"4,380",5,0.11,"178,119,029,100"
036630,세종텔레콤,KOSDAQ,통신서비스,754,2,0.27,"209,489,050,498"
039310,세중,KOSDAQ,기타서비스,"2,670",5,0.19,"48,384,850,890"
067770,세진티에스,KOSDAQ,IT부품,"3,590",0,0.00,"30,143,768,870"
053450,세코닉스,KOSDAQ,의료·정밀기기,"7,600",50,0.66,"112,425,302,800"
234340,세틀뱅크,KOSDAQ,소프트웨어,"18,250",50,0.27,"172,517,250,000"
252500,세화피앤씨,KOSDAQ,화학,"1,305",30,2.35,"54,139,738,950"
347000,센코,KOSDAQ,의료·정밀기기,"12,750",400,3.24,"105,203,361,000"
331920,셀레믹스,KOSDAQ,제약,"7,690",410,5.63,"62,782,298,120"
049180,셀루메드,KOSDAQ,제약,"4,745",-140,-2.87,"187,935,086,885"
299660,셀리드,KOSDAQ,기타서비스,"23,000","-1,600",-6.50,"223,817,416,000"
268600,셀리버리,KOSDAQ,기타서비스,"35,800",750,2.14,"620,550,004,200"
108860,셀바스AI,KOSDAQ,소프트웨어,"6,940",270,4.05,"153,068,258,300"
208370,셀바스헬스케어,KOSDAQ,의료·정밀기기,"2,250",45,2.04,"48,781,269,000"
068760,셀트리온제약,KOSDAQ,제약,"78,800",600,0.77,"2,969,266,976,400"
091990,셀트리온헬스케어,KOSDAQ,유통,"72,800","1,000",1.39,"11,513,675,628,000"
060230,소니드,KOSDAQ,화학,"3,390",-40,-1.17,"67,046,721,660"
290690,소룩스,KOSDAQ,일반전기전자,"8,570",-40,-0.46,"70,761,144,510"
053110,소리바다,KOSDAQ,디지털컨텐츠,"3,960",0,0.00,"35,403,782,040"
950200,소마젠,KOSDAQ,기타서비스,"6,510",110,1.72,"124,559,430,030"
032680,소프트센,KOSDAQ,유통,"1,730",5,0.29,"66,168,526,190"
032685,소프트센우,KOSDAQ,유통,"24,250",-700,-2.81,"3,464,282,250"
258790,소프트캠프,KOSDAQ,출판·매체복제,"1,775",70,4.11,"44,359,529,100"
066910,손오공,KOSDAQ,유통,"2,250",10,0.45,"60,516,362,250"
043100,솔고바이오,KOSDAQ,의료·정밀기기,592,6,1.02,"36,869,291,136"
154040,솔루에타,KOSDAQ,IT부품,"2,795",60,2.19,"38,641,478,720"
035610,솔본,KOSDAQ,기타서비스,"3,700",0,0.00,"101,180,188,900"
357780,솔브레인,KOSDAQ,화학,"215,300",900,0.42,"1,674,725,259,800"
036830,솔브레인홀딩스,KOSDAQ,기타서비스,"19,100",850,4.66,"400,413,469,600"
304100,솔트룩스,KOSDAQ,소프트웨어,"9,270",0,0.00,"94,566,329,100"
086980,쇼박스,KOSDAQ,오락·문화,"5,110",60,1.19,"319,942,210,000"
050960,수산아이앤티,KOSDAQ,출판·매체복제,"11,000",250,2.33,"74,261,000,000"
253840,수젠텍,KOSDAQ,의료·정밀기기,"17,150",-200,-1.15,"266,526,709,400"
236200,슈프리마,KOSDAQ,일반전기전자,"21,150",-100,-0.47,"152,137,723,950"
317770,슈프리마아이디,KOSDAQ,일반전기전자,"16,400",900,5.81,"50,085,928,000"
094840,슈프리마에이치큐,KOSDAQ,컴퓨터서비스,"6,060",60,1.00,"63,459,350,400"
192440,슈피겐코리아,KOSDAQ,IT부품,"37,100",-650,-1.72,"230,627,067,300"
136510,스마트솔루션즈,KOSDAQ,기계·장비,"11,600",0,0.00,"335,276,888,000"
099440,스맥,KOSDAQ,기계·장비,"2,445",-35,-1.41,"81,124,104,885"
033790,스카이문스테크놀로지,KOSDAQ,통신장비,829,0,0.00,"14,190,075,900"
131100,스카이이앤엠,KOSDAQ,유통,"3,035",10,0.33,"81,438,774,140"
276040,스코넥,KOSDAQ,디지털컨텐츠,"12,450",300,2.47,"151,682,383,800"
159910,스킨앤스킨,KOSDAQ,반도체,223,-5,-2.19,"78,975,617,027"
115570,스타플렉스,KOSDAQ,화학,"4,355",-45,-1.02,"34,772,532,340"
330730,스톤브릿지벤처스,KOSDAQ,금융,"5,610",-50,-0.88,"100,945,386,300"
253450,스튜디오드래곤,KOSDAQ,오락·문화,"73,700","2,400",3.37,"2,212,045,434,500"
204630,스튜디오산타클로스,KOSDAQ,오락·문화,"8,120",330,4.24,"79,664,175,080"
013810,스페코,KOSDAQ,기계·장비,"5,460",-40,-0.73,"80,018,866,200"
049830,승일,KOSDAQ,금속,"13,100",-950,-6.76,"80,330,667,200"
020710,시공테크,KOSDAQ,기타서비스,"5,180",-50,-0.96,"103,848,484,600"
033170,시그네틱스,KOSDAQ,반도체,"1,530",-20,-1.29,"131,164,328,070"
048870,시너지이노베이션,KOSDAQ,의료·정밀기기,"3,815",10,0.26,"306,830,508,110"
025320,시노펙스,KOSDAQ,IT부품,"3,470",205,6.28,"254,153,064,260"
269620,시스웍,KOSDAQ,의료·정밀기기,889,0,0.00,"96,529,477,121"
131090,시큐브,KOSDAQ,소프트웨어,"1,035",30,2.99,"45,540,000,000"
139050,시티랩스,KOSDAQ,컴퓨터서비스,601,-3,-0.50,"63,765,214,727"
290520,신도기연,KOSDAQ,기계·장비,"4,890",60,1.24,"77,894,580,180"
001000,신라섬유,KOSDAQ,유통,"1,740",-5,-0.29,"42,242,919,600"
025870,신라에스지,KOSDAQ,유통,"10,650",-450,-4.05,"42,600,000,000"
215600,신라젠,KOSDAQ,기타서비스,"12,100",0,0.00,"1,244,692,212,500"
065350,신성델타테크,KOSDAQ,일반전기전자,"9,980",170,1.73,"274,289,801,040"
002800,신신제약,KOSDAQ,제약,"5,460",370,7.27,"82,830,930,000"
344050,신영스팩6호,KOSDAQ,금융,"2,285",0,0.00,"9,836,925,000"
419270,신영스팩7호,KOSDAQ,금융,"2,160",0,0.00,"9,298,800,000"
017000,신원종합개발,KOSDAQ,건설,"6,860",-50,-0.72,"80,042,665,220"
012790,신일제약,KOSDAQ,제약,"10,150",880,9.49,"117,145,859,600"
138070,신진에스엠,KOSDAQ,금속,"10,300","-1,800",-14.88,"92,413,484,900"
226330,신테카바이오,KOSDAQ,출판·매체복제,"10,150",0,0.00,"137,204,817,400"
333050,신한제6호스팩,KOSDAQ,금융,"2,170",0,0.00,"10,871,700,000"
